"Alias","Golfer 1","Golfer 2","Golfer 3","Golfer 4","Golfer 5"
"colin.stan","RORY MCILROY","BUBBA WATSON","JORDAN SPIETH","CAMERON SMITH","PATRICK REED"
"colin.stan","RORY MCILROY","TIGER WOODS","DUSTIN JOHNSON","ADAM SCOTT","HIDEKI MATSUYAMA"
"rstoomey","TIGER WOODS","DUSTIN JOHNSON","RICKIE FOWLER","JORDAN SPIETH","J.B. HOLMES"
"mattpmeser","DUSTIN JOHNSON","RORY MCILROY","TIGER WOODS","HIDEKI MATSUYAMA","JORDAN SPIETH"
"ftaylor2","DUSTIN JOHNSON","RORY MCILROY","TIGER WOODS","HIDEKI MATSUYAMA","KEEGAN BRADLEY"
"timothypst","JON RAHM","RORY MCILROY","CHARLEY HOFFMAN","KEEGAN BRADLEY","GARY WOODLAND"
"rdonega","JUSTIN ROSE","DUSTIN JOHNSON","PAUL CASEY","ADAM SCOTT","SERGIO GARCIA"
"rdonega","DUSTIN JOHNSON","RORY MCILROY","LOUIS OOSTHUIZEN","JORDAN SPIETH","ADAM SCOTT"
"tthibeau","JON RAHM","BROOKS KOEPKA","TIGER WOODS","HENRIK STENSON","IAN POULTER"
"phaga","RORY MCILROY","RICKIE FOWLER","MATT KUCHAR","JORDAN SPIETH","HENRIK STENSON"
"mlko","DUSTIN JOHNSON","RORY MCILROY","PAUL CASEY","HIDEKI MATSUYAMA","ADAM SCOTT"
"mlko","RORY MCILROY","RICKIE FOWLER","MATT KUCHAR","HIDEKI MATSUYAMA","HENRIK STENSON"
"kristy.mor","RORY MCILROY","JUSTIN THOMAS","LOUIS OOSTHUIZEN","ADAM SCOTT","JORDAN SPIETH"
"kristy.mor","JON RAHM","JUSTIN ROSE","TIGER WOODS","RAFAEL CABRERA BELLO","JORDAN SPIETH"
"Kristy.Mor","RORY MCILROY","JUSTIN ROSE","JASON DAY","HIDEKI MATSUYAMA","JORDAN SPIETH"
"jamesbfri","JUSTIN THOMAS","RORY MCILROY","PAUL CASEY","HIDEKI MATSUYAMA","IAN POULTER"
"jamesbfri","DUSTIN JOHNSON","JUSTIN THOMAS","TIGER WOODS","HIDEKI MATSUYAMA","JORDAN SPIETH"
"brady.riden","JON RAHM","RICKIE FOWLER","TOMMY FLEETWOOD","J.B. HOLMES","SI WOO KIM"
"landon.routz","BROOKS KOEPKA","BRYSON DECHAMBEAU","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","JORDAN SPIETH"
"colin.stan","JON RAHM","RICKIE FOWLER","CAMERON SMITH","JORDAN SPIETH","MARC LEISHMAN"
"dylanbeaumo","RORY MCILROY","FRANCESCO MOLINARI","TIGER WOODS","JORDAN SPIETH","HIDEKI MATSUYAMA"
"shawnluko","JON RAHM","RICKIE FOWLER","LOUIS OOSTHUIZEN","HIDEKI MATSUYAMA","ADAM SCOTT"
"jeff.rua","DUSTIN JOHNSON","JON RAHM","MATT KUCHAR","HIDEKI MATSUYAMA","CHARLEY HOFFMAN"
"mark.margol","JUSTIN ROSE","DUSTIN JOHNSON","TOMMY FLEETWOOD","JORDAN SPIETH","HIDEKI MATSUYAMA"
"stephanie.na","RORY MCILROY","FRANCESCO MOLINARI","PAUL CASEY","JORDAN SPIETH","ADAM SCOTT"
"will.harri","DUSTIN JOHNSON","RORY MCILROY","MATT KUCHAR","HIDEKI MATSUYAMA","CAMERON SMITH"
"will.harri","JUSTIN ROSE","RORY MCILROY","PAUL CASEY","HIDEKI MATSUYAMA","CAMERON SMITH"
"scat","JUSTIN ROSE","BROOKS KOEPKA","TOMMY FLEETWOOD","SERGIO GARCIA","JORDAN SPIETH"
"jmtyner","DUSTIN JOHNSON","BROOKS KOEPKA","HIDEKI MATSUYAMA","CHARLES HOWELL III","TOMMY FLEETWOOD"
"jmtyner","RORY MCILROY","JUSTIN THOMAS","MATT KUCHAR","JORDAN SPIETH","CHARLEY HOFFMAN"
"afordyc","BRANDT SNEDEKER","MATTHEW FITZPATRICK","KEVIN KISNER","DUSTIN JOHNSON","RORY MCILROY"
"Parker7","JON RAHM","RORY MCILROY","HIDEKI MATSUYAMA","TOMMY FLEETWOOD","HENRIK STENSON"
"Parker7","DUSTIN JOHNSON","JUSTIN ROSE","PAUL CASEY","SERGIO GARCIA","ADAM SCOTT"
"wmebane","RORY MCILROY","FRANCESCO MOLINARI","TIGER WOODS","CHARLEY HOFFMAN","HIDEKI MATSUYAMA"
"ddallas5","RORY MCILROY","JUSTIN ROSE","MATT KUCHAR","JORDAN SPIETH","BILLY HORSCHEL"
"wmebane","DUSTIN JOHNSON","RORY MCILROY","TIGER WOODS","MATTHEW FITZPATRICK","CHARLES HOWELL III"
"mkawamot","JUSTIN ROSE","RICKIE FOWLER","TOMMY FLEETWOOD","CAMERON SMITH","JORDAN SPIETH"
"jkawamot","RICKIE FOWLER","RORY MCILROY","JORDAN SPIETH","HIDEKI MATSUYAMA","TIGER WOODS"
"skrid","JUSTIN ROSE","RORY MCILROY","HIDEKI MATSUYAMA","JASON DAY","SERGIO GARCIA"
"skrid","RORY MCILROY","FRANCESCO MOLINARI","TONY FINAU","HIDEKI MATSUYAMA","JORDAN SPIETH"
"jkawamot","JUSTIN ROSE","RORY MCILROY","JASON DAY","JORDAN SPIETH","HIDEKI MATSUYAMA"
"alexpn","JON RAHM","RORY MCILROY","CAMERON SMITH","KEEGAN BRADLEY","PAUL CASEY"
"alexpn","RICKIE FOWLER","JUSTIN ROSE","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","ADAM SCOTT"
